Month,Freemium_Users,Vendor_Portal_Subs,Enterprise_Subs,Vendor_Portal_MRR_USD,Enterprise_MRR_USD,Total_MRR_USD,ARR_USD,COGS_USD,Gross_Profit_USD,OpEx_Gross_Burn_USD,Net_Burn_USD,Ending_Cash_USD,Cash_Runway_Months
M01,250,5,1,1495,2499,3994,47928,543.18,3450.82,41667.00,38216.18,771783.82,20.19
M02,400,9,2,2691,4998,7689,92268,1045.70,6643.30,42500.00,35856.70,735927.12,20.52
M03,650,15,3,4485,7497,11982,143784,1629.55,10352.45,43500.00,33147.55,702779.57,21.20
M04,1000,22,4,6578,9996,16574,198888,2254.06,14319.94,44500.00,30180.06,672599.51,22.29
M05,1500,30,5,8970,12495,21465,257580,2919.24,18545.76,45500.00,26954.24,645645.27,23.95
M06,2200,40,7,11960,17493,29453,353436,4005.61,25447.39,47000.00,21552.61,624092.66,28.96
M07,3000,52,9,15548,22491,38039,456468,5173.30,32865.70,48500.00,15634.30,608458.36,38.92
M08,4000,66,11,19734,27489,47223,566676,6422.33,40800.67,50000.00,9199.33,599259.03,65.14
M09,5200,82,13,24518,32487,57005,684060,7752.68,49252.32,52000.00,2747.68,596511.35,217.11
M10,6600,100,15,29900,37485,67385,808620,9164.36,58220.64,54000.00,-4220.64,600731.99,Profitable
M11,8200,120,17,35880,42483,78363,940356,10657.37,67705.63,56000.00,-11705.63,612437.62,Profitable
M12,10000,145,20,43355,49980,93335,1120020,12693.56,80641.44,58000.00,-22641.44,635079.06,Profitable
M13,12200,172,23,51428,57477,108905,1306860,14811.08,94093.92,61000.00,-33093.92,668172.98,Profitable
M14,14800,202,26,60398,64974,125372,1504464,17050.59,108321.41,64000.00,-44321.41,712494.39,Profitable
M15,17800,235,30,70265,74970,145235,1742820,19751.96,125483.04,67000.00,-58483.04,770977.43,Profitable
M16,21200,272,34,81328,84966,166294,1995528,22615.98,143678.02,70000.00,-73678.02,844655.45,Profitable
M17,25000,315,39,94185,97461,191646,2299752,26063.86,165582.14,73000.00,-92582.14,937237.59,Profitable
M18,29500,365,45,109135,112455,221590,2659080,30136.24,191453.76,76000.00,-115453.76,1052691.35,Profitable
